accepted_contributing_blocks,accepted_effective_blocks,accepted_measurement_samples,block_bootstrap_interval_high,block_bootstrap_interval_low,block_bootstrap_standard_error,boundary_excluded_origins,cube_candidate_origins,cube_id,curve_uncertainty_support_passes,curve_value,direction,directional_exclusion_counts_across_channels_json,directional_exclusion_invalid_B,directional_exclusion_invalid_q,directional_exclusion_weak_B_direction,directional_exclusion_weak_q_perp_for_phi,directional_exclusion_weak_r_perp_for_phi,displacement_count,eligible_origin_fraction,eligible_origins,ell_center_cells,ell_lower_cells,ell_upper_cells,intrinsic_eligible_origins,local_log_slope_diagnostic,local_log_slope_support_mask,pair_sampling_standard_error,q_name,sampled_origins,shell_index,shell_local_below_5pct_curve_overlay_threshold,shell_local_meets_10pct_slope_candidate_geometry_threshold,shell_local_meets_5pct_curve_overlay_threshold,shell_local_science_facing_overlay_supported,support_mode,support_policy_excluded_origins,valid_bootstrap_resamples,weak_shell_local_value_retained_as_flagged_diagnostic
372,252.85488126649076,1452,0.0016474469667808068,0.001007763548562544,0.00015354131821420492,145607426,5767168000,L640_sub00370,True,0.0013192449247533063,parallel,"{""invalid_B"": 0, ""invalid_q"": 0, ""weak_B_direction"": 0, ""weak_q_perp_for_phi"": 0, ""weak_r_perp_for_phi"": 0}",0,0,0,0,0,22,0.9747523522810503,5621560574,10.988630487917955,10.5,11.5,5621560574,2.190049642525126,True,0.00015064047597862455,B,45056,10,,,,,all_valid_origins,0,200,False
311,209.86578234203395,1213,0.0014913224312503317,0.0009077026945966547,0.00015628790274388183,144683952,5242880000,L640_sub00370,True,0.0011755067738270302,parallel,"{""invalid_B"": 0, ""invalid_q"": 0, ""weak_B_direction"": 0, ""weak_q_perp_for_phi"": 0, ""weak_r_perp_for_phi"": 0}",0,0,0,0,0,20,0.972403726196289,5098196048,11.989578808281799,11.5,12.5,5098196048,1.7161289123009122,True,0.0001427741957940804,B,40960,11,,,,,all_valid_origins,0,200,False
305,210.35980551053484,1248,0.0019753466608801768,0.001385757291572447,0.00014037245973506384,174602658,5767168000,L640_sub00370,True,0.001636009690033024,parallel,"{""invalid_B"": 0, ""invalid_q"": 0, ""weak_B_direction"": 0, ""weak_q_perp_for_phi"": 0, ""weak_r_perp_for_phi"": 0}",0,0,0,0,0,22,0.9697247144525701,5592565342,12.99038105676658,12.5,13.5,5592565342,1.7130435863274236,True,0.00012469274641383474,B,45056,12,,,,,all_valid_origins,0,200,False
354,243.5865298840321,1478,0.002137307405915167,0.001429290794540732,0.00019081222364686532,202123680,6291456000,L640_sub00370,True,0.0017189321194401954,parallel,"{""invalid_B"": 0, ""invalid_q"": 0, ""weak_B_direction"": 0, ""weak_q_perp_for_phi"": 0, ""weak_r_perp_for_phi"": 0}",0,0,0,0,0,24,0.967873306274414,6089332320,13.991068579633222,13.5,14.5,6089332320,1.8154735544388265,True,0.0001722418959380855,B,49152,13,,,,,all_valid_origins,0,200,False
326,212.5832270859895,1225,0.002551276763173537,0.0018050246367314273,0.00020111929049650314,196374066,5767168000,L640_sub00370,True,0.002139783978935658,parallel,"{""invalid_B"": 0, ""invalid_q"": 0, ""weak_B_direction"": 0, ""weak_q_perp_for_phi"": 0, ""weak_r_perp_for_phi"": 0}",0,0,0,0,0,22,0.9659496539722789,5570793934,14.99166435056495,14.5,15.5,5570793934,0.8240478701571032,True,0.00020914965745392084,B,45056,14,,,,,all_valid_origins,0,200,False
360,240.83897093854216,1422,0.002282376189417543,0.0016785411834135825,0.00015345779120278023,232640542,6291456000,L640_sub00370,True,0.0019534249302143483,parallel,"{""invalid_B"": 0, ""invalid_q"": 0, ""weak_B_direction"": 0, ""weak_q_perp_for_phi"": 0, ""weak_r_perp_for_phi"": 0}",0,0,0,0,0,24,0.9630227816899618,6058815458,15.992185591719476,15.5,16.5,6058815458,1.1108533913954688,True,0.00015422784259123387,B,49152,15,,,,,all_valid_origins,0,200,False
328,229.24457089768902,1405,0.002381903707037662,0.0017435766361491294,0.00016091547432264445,226017474,5767168000,L640_sub00370,True,0.002012426959071661,parallel,"{""invalid_B"": 0, ""invalid_q"": 0, ""weak_B_direction"": 0, ""weak_q_perp_for_phi"": 0, ""weak_r_perp_for_phi"": 0}",0,0,0,0,0,22,0.960809625452215,5541150526,16.99264546796643,16.5,17.5,5541150526,1.389012944166773,True,0.00014968710551059724,B,45056,16,,,,,all_valid_origins,0,200,False
388,269.2504482964734,1644,0.0029889474809975786,0.0020890566381859613,0.000242735241571766,217746460,5242880000,L640_sub00370,True,0.002518269871911578,parallel,"{""invalid_B"": 0, ""invalid_q"": 0, ""weak_B_direction"": 0, ""weak_q_perp_for_phi"": 0, ""weak_r_perp_for_phi"": 0}",0,0,0,0,0,20,0.9584681587219238,5025133540,17.99305421544658,17.5,18.5,5025133540,2.234955633362372,True,0.0002110156151896264,B,40960,17,,,,,all_valid_origins,0,200,False
378,261.22799484757405,1560,0.00333930544267633,0.002513855493728665,0.00021984574916718573,271127032,6291456000,L640_sub00370,True,0.00289927303733247,parallel,"{""invalid_B"": 0, ""invalid_q"": 0, ""weak_B_direction"": 0, ""weak_q_perp_for_phi"": 0, ""weak_r_perp_for_phi"": 0}",0,0,0,0,0,24,0.9569055188496908,6020328968,19.235384061671343,18.5,20.0,6020328968,2.2678806780233214,True,0.00018798932136738039,B,49152,18,,,,,all_valid_origins,0,200,False
355,240.00449775112443,1386,0.003796104310079931,0.002865421392795036,0.00025742902367722456,303748822,6291456000,L640_sub00370,True,0.003345431155982775,parallel,"{""invalid_B"": 0, ""invalid_q"": 0, ""weak_B_direction"": 0, ""weak_q_perp_for_phi"": 0, ""weak_r_perp_for_phi"": 0}",0,0,0,0,0,24,0.9517204249699911,5987707178,20.73644135332772,20.0,21.5,5987707178,1.8255696702596964,True,0.0002377935995279091,B,49152,19,,,,,all_valid_origins,0,200,False
366,254.44270263701543,1447,0.004251601373713107,0.0031372502210807274,0.00028463705597389275,261721076,5242880000,L640_sub00370,True,0.003694467527806782,parallel,"{""invalid_B"": 0, ""invalid_q"": 0, ""weak_B_direction"": 0, ""weak_q_perp_for_phi"": 0, ""weak_r_perp_for_phi"": 0}",0,0,0,0,0,20,0.9500806663513184,4981158924,21.99431744792277,21.5,22.5,4981158924,1.6914782377656115,True,0.0002638445519927247,B,40960,20,,,,,all_valid_origins,0,200,False
378,250.89605734767025,1400,0.004919060241851599,0.0034517314202819963,0.00036794401928851646,330810862,6291456000,L640_sub00370,True,0.004014044531996597,parallel,"{""invalid_B"": 0, ""invalid_q"": 0, ""weak_B_direction"": 0, ""weak_q_perp_for_phi"": 0, ""weak_r_perp_for_phi"": 0}",0,0,0,0,0,24,0.9474190295537313,5960645138,23.2379000772445,22.5,24.0,5960645138,1.6049974082708156,True,0.0003342781390865044,B,49152,21,,,,,all_valid_origins,0,200,False
