B_mean,B_mean_sq_over_B2_mean,B_rms,count,cube_id,dBB,deltaB,deltaB_sq_over_B2_mean,direction,maximum,median,p90,p_value,q_name
0.9195855259895325,0.8785194754600525,0.9811071157455444,29,L640_sub00370,0.3718584179878235,0.34195560216903687,0.12148050963878632,parallel,1.2412082287931903,1.0821169527114227,1.1529119901273877,1.0,B
0.9195855259895325,0.8785194754600525,0.9811071157455444,29,L640_sub00370,0.3718584179878235,0.34195560216903687,0.12148050963878632,xi,1.2121451464445927,1.0931650149964471,1.179809246878659,1.0,B
0.9195855259895325,0.8785194754600525,0.9811071157455444,29,L640_sub00370,0.3718584179878235,0.34195560216903687,0.12148050963878632,lambda,1.0760117528820596,1.0303675447543583,1.0699232556818585,1.0,B
0.9195855259895325,0.8785194754600525,0.9811071157455444,29,L640_sub00370,0.3718584179878235,0.34195560216903687,0.12148050963878632,parallel,1.2433812774030135,1.089240199457029,1.1985340540721143,1.0,u
0.9195855259895325,0.8785194754600525,0.9811071157455444,29,L640_sub00370,0.3718584179878235,0.34195560216903687,0.12148050963878632,xi,1.1637917431046358,1.0531083791205094,1.1016506270985529,1.0,u
0.9195855259895325,0.8785194754600525,0.9811071157455444,29,L640_sub00370,0.3718584179878235,0.34195560216903687,0.12148050963878632,lambda,1.150586424615181,1.098910403864618,1.140617443619087,1.0,u
0.9195855259895325,0.8785194754600525,0.9811071157455444,29,L640_sub00370,0.3718584179878235,0.34195560216903687,0.12148050963878632,parallel,1.5185592515500976,1.2097069225170904,1.341195573520561,2.0,B
0.9195855259895325,0.8785194754600525,0.9811071157455444,29,L640_sub00370,0.3718584179878235,0.34195560216903687,0.12148050963878632,xi,1.4787869992594735,1.1885257601300083,1.4102810553559388,2.0,B
0.9195855259895325,0.8785194754600525,0.9811071157455444,29,L640_sub00370,0.3718584179878235,0.34195560216903687,0.12148050963878632,lambda,1.135888753072561,1.0385079599287264,1.1067963959635108,2.0,B
0.9195855259895325,0.8785194754600525,0.9811071157455444,29,L640_sub00370,0.3718584179878235,0.34195560216903687,0.12148050963878632,parallel,1.6578416136781338,1.2150936406483337,1.4895578966557195,2.0,u
0.9195855259895325,0.8785194754600525,0.9811071157455444,29,L640_sub00370,0.3718584179878235,0.34195560216903687,0.12148050963878632,xi,1.4072888360459712,1.1466066093689018,1.2374986105645251,2.0,u
0.9195855259895325,0.8785194754600525,0.9811071157455444,29,L640_sub00370,0.3718584179878235,0.34195560216903687,0.12148050963878632,lambda,1.327115675632638,1.1785984398821154,1.3003663562556658,2.0,u
0.9195855259895325,0.8785194754600525,0.9811071157455444,29,L640_sub00370,0.3718584179878235,0.34195560216903687,0.12148050963878632,parallel,1.8557676101078884,1.375555555573205,1.6524825890572283,3.0,B
0.9195855259895325,0.8785194754600525,0.9811071157455444,29,L640_sub00370,0.3718584179878235,0.34195560216903687,0.12148050963878632,xi,1.8775136547609554,1.2910202672293654,1.784463485054606,3.0,B
0.9195855259895325,0.8785194754600525,0.9811071157455444,29,L640_sub00370,0.3718584179878235,0.34195560216903687,0.12148050963878632,lambda,1.200881476068928,1.0550004512723772,1.1327137730409225,3.0,B
0.9195855259895325,0.8785194754600525,0.9811071157455444,29,L640_sub00370,0.3718584179878235,0.34195560216903687,0.12148050963878632,parallel,2.3169092462655314,1.3943103688502587,1.9446956634873487,3.0,u
0.9195855259895325,0.8785194754600525,0.9811071157455444,29,L640_sub00370,0.3718584179878235,0.34195560216903687,0.12148050963878632,xi,1.7549600317277876,1.2537600300949308,1.4611531121956283,3.0,u
0.9195855259895325,0.8785194754600525,0.9811071157455444,29,L640_sub00370,0.3718584179878235,0.34195560216903687,0.12148050963878632,lambda,1.5482766605532663,1.2460258764031968,1.4798300223416643,3.0,u
0.9195855259895325,0.8785194754600525,0.9811071157455444,29,L640_sub00370,0.3718584179878235,0.34195560216903687,0.12148050963878632,parallel,2.608576575753804,1.4924362195901075,2.1911067497163517,4.0,B
0.9195855259895325,0.8785194754600525,0.9811071157455444,29,L640_sub00370,0.3718584179878235,0.34195560216903687,0.12148050963878632,xi,2.66322379904348,1.440406874205913,2.261999870762642,4.0,B
0.9195855259895325,0.8785194754600525,0.9811071157455444,29,L640_sub00370,0.3718584179878235,0.34195560216903687,0.12148050963878632,lambda,1.33450119543928,1.0591956798456763,1.2120629442619297,4.0,B
0.9195855259895325,0.8785194754600525,0.9811071157455444,29,L640_sub00370,0.3718584179878235,0.34195560216903687,0.12148050963878632,parallel,3.308784613772531,1.6199232524254854,2.6162242504052933,4.0,u
0.9195855259895325,0.8785194754600525,0.9811071157455444,29,L640_sub00370,0.3718584179878235,0.34195560216903687,0.12148050963878632,xi,2.2212160401203453,1.407515298128635,1.7618651205578142,4.0,u
0.9195855259895325,0.8785194754600525,0.9811071157455444,29,L640_sub00370,0.3718584179878235,0.34195560216903687,0.12148050963878632,lambda,1.7707989306274672,1.301525917053519,1.6439369927415757,4.0,u
0.9195855259895325,0.8785194754600525,0.9811071157455444,29,L640_sub00370,0.3718584179878235,0.34195560216903687,0.12148050963878632,parallel,3.8500970468681293,1.7331401269290063,2.870610944233212,5.0,B
0.9195855259895325,0.8785194754600525,0.9811071157455444,29,L640_sub00370,0.3718584179878235,0.34195560216903687,0.12148050963878632,xi,4.045579352709373,1.6909126199972453,3.01091059058964,5.0,B
0.9195855259895325,0.8785194754600525,0.9811071157455444,29,L640_sub00370,0.3718584179878235,0.34195560216903687,0.12148050963878632,lambda,1.575369277784074,1.0921639422819442,1.328736051238986,5.0,B
0.9195855259895325,0.8785194754600525,0.9811071157455444,29,L640_sub00370,0.3718584179878235,0.34195560216903687,0.12148050963878632,parallel,4.8490512142803945,1.872763732184772,3.419517606819571,5.0,u
0.9195855259895325,0.8785194754600525,0.9811071157455444,29,L640_sub00370,0.3718584179878235,0.34195560216903687,0.12148050963878632,xi,3.3475935411002906,1.6283061729546555,2.1180133103299434,5.0,u
0.9195855259895325,0.8785194754600525,0.9811071157455444,29,L640_sub00370,0.3718584179878235,0.34195560216903687,0.12148050963878632,lambda,1.9699532758667804,1.363970778601245,1.7960174395212398,5.0,u
0.9195855259895325,0.8785194754600525,0.9811071157455444,29,L640_sub00370,0.3718584179878235,0.34195560216903687,0.12148050963878632,parallel,5.854226865489457,1.9988367827229567,4.136262896691616,6.0,B
0.9195855259895325,0.8785194754600525,0.9811071157455444,29,L640_sub00370,0.3718584179878235,0.34195560216903687,0.12148050963878632,xi,6.393206042565084,2.0395733344979368,4.266905554479633,6.0,B
