conditioning_factor,cube_id,direction,ell_cells,pair_local_accepted_measurements,pair_local_curve_value,pair_local_over_subvolume_mean,q_name,representative_cube,subvolume_mean_accepted_measurements,subvolume_mean_curve_value,supported_comparison
,L640_sub00370,parallel,33.98529093593286,1455,0.006761907372198034,,B,True,0,,False
,L640_sub00370,parallel,35.98610843089316,1463,0.00726436437295301,,B,True,0,,False
,L640_sub00370,parallel,38.22956970723055,1389,0.007927769772719542,,B,True,0,,False
,L640_sub00370,parallel,40.7308237088326,1504,0.008874810459636666,,B,True,0,,False
,L640_sub00370,parallel,43.23193264243457,1446,0.009002676497162103,,B,True,0,,False
,L640_sub00370,parallel,45.97553697348189,1390,0.009780446059871464,,B,True,0,,False
,L640_sub00370,parallel,48.977035434987286,1428,0.010769290563165161,,B,True,0,,False
,L640_sub00370,parallel,52.22068555658763,1384,0.012320119478003365,,B,True,0,,False
,L640_sub00370,parallel,55.72252686302013,1411,0.010907071968564386,,B,True,0,,False
,L640_sub00370,parallel,59.22415047934415,1549,0.012848634926827349,,B,True,0,,False
,L640_sub00370,parallel,62.96824596572466,1393,0.015443514178817279,,B,True,0,,False
,L640_sub00370,parallel,66.97014260101288,1485,0.015160377829011763,,B,True,0,,False
,L640_sub00370,parallel,71.21446482281532,1444,0.016816835395890375,,B,True,0,,False
,L640_sub00370,parallel,75.95887044973747,1431,0.017808828399562094,,B,True,0,,False
,L640_sub00370,parallel,80.96141056083448,1392,0.020774382900805792,,B,True,0,,False
,L640_sub00370,parallel,86.20614827261453,1466,0.02102610264848745,,B,True,0,,False
,L640_sub00370,parallel,91.95107394696377,1440,0.020533273997083473,,B,True,0,,False
,L640_sub00370,parallel,97.95407086997457,1350,0.021187337784516955,,B,True,0,,False
,L640_sub00370,parallel,104.19932821280567,1475,0.024904548183146098,,B,True,0,,False
,L640_sub00370,parallel,110.94480609744649,1382,0.027030459334487087,,B,True,0,,False
,L640_sub00370,parallel,117.94808179873041,1433,0.026556696223017824,,B,True,0,,False
,L640_sub00370,parallel,125.193849689192,1460,0.026850719409470248,,B,True,0,,False
,L640_sub00370,parallel,133.18220601867202,1432,0.03166474987650037,,B,True,0,,False
,L640_sub00370,parallel,141.92867927237256,1439,0.032777090249048756,,B,True,0,,False
,L640_sub00370,parallel,151.17539482336403,1476,0.03847940286663197,,B,True,0,,False
,L640_sub00370,parallel,160.92234151913152,1455,0.034346815465857126,,B,True,0,,False
,L640_sub00370,parallel,171.1695066301238,1436,0.039165250217300565,,B,True,0,,False
,L640_sub00370,parallel,182.15927096911648,1399,0.04333603883379655,,B,True,0,,False
,L640_sub00370,parallel,194.14942698859556,1406,0.0457364858694944,,B,True,0,,False
,L640_sub00370,parallel,206.89792169086667,1450,0.04943056863404565,,B,True,0,,False
,L640_sub00370,parallel,220.14654210320907,1491,0.04702656503905242,,B,True,0,,False
,L640_sub00370,parallel,234.13777995018233,1403,0.05194514941262073,,B,True,0,,False
,L640_sub00370,parallel,249.1294844051984,1438,0.055750568217077114,,B,True,0,,False
,L640_sub00370,parallel,265.12167018182424,1466,0.060107081374216276,,B,True,0,,False
,L640_sub00370,parallel,282.35660077285246,1410,0.06633504594712922,,B,True,0,,False
,L640_sub00370,parallel,300.85004570383563,1403,0.06999850331936829,,B,True,0,,False
,L640_sub00370,parallel,315.46037786067524,193,0.07260539542207438,,B,True,0,,False
1.1302507977834493,L640_sub00370,xi,33.98529093593286,1361,0.0119244214418005,0.8847593843429389,B,True,1372,0.013477586847701083,True
1.0064908047895147,L640_sub00370,xi,35.98610843089316,1373,0.01293373484972821,0.9935510540596821,B,True,967,0.013017685197837138,True
1.1672444004584723,L640_sub00370,xi,38.22956970723055,1419,0.013822961618872073,0.8567186097506385,B,True,1476,0.01613477454738081,True
1.0224321435884476,L640_sub00370,xi,40.7308237088326,1350,0.014880443518610842,0.9780600172548204,B,True,964,0.015214243764280103,True
1.130176135492484,L640_sub00370,xi,43.23193264243457,1306,0.01561962725911324,0.8848178337832637,B,True,1381,0.01765292997353766,True
1.154360377503967,L640_sub00370,xi,45.97553697348189,1371,0.015323487316487605,0.866280599618522,B,True,1391,0.017688826603337884,True
1.1496471043844585,L640_sub00370,xi,48.977035434987286,1444,0.016893038474053483,0.8698321390853394,B,True,1401,0.01942103276595084,True
1.0440125830632965,L640_sub00370,xi,52.22068555658763,1408,0.01962515863652328,0.9578428614967871,B,True,1363,0.02048891256114363,True
1.100314255538282,L640_sub00370,xi,55.72252686302013,1423,0.019025426544658688,0.9088312679460763,B,True,1451,0.020933948044784396,True
1.0481605540039138,L640_sub00370,xi,59.22415047934415,1430,0.021235671430236525,0.9540523121005239,B,True,1397,0.022258393130961802,True
1.130444537582185,L640_sub00370,xi,62.96824596572466,1333,0.021112707346220446,0.8846077509815898,B,True,1417,0.023866744693106172,True
1.0582376331148367,L640_sub00370,xi,66.97014260101288,1354,0.023377634142720472,0.9449673388165011,B,True,1399,0.024739092223017106,True
1.0141895963340928,L640_sub00370,xi,71.21446482281532,1352,0.02606599444210616,0.9860089312832799,B,True,1386,0.026435860381286355,True
1.0263689147288089,L640_sub00370,xi,75.95887044973747,1383,0.025894637793999403,1.0263689147288089,B,True,1398,0.02522936677290288,True
1.0708337637284193,L640_sub00370,xi,80.96141056083448,1258,0.025428171281314707,0.933851764739103,B,True,1330,0.027229344357901128,True
1.0527522640925682,L640_sub00370,xi,86.20614827261453,1382,0.031231830279888517,1.0527522640925682,B,True,1359,0.02966683743663962,True
1.021113222422745,L640_sub00370,xi,91.95107394696377,1369,0.03239045218672902,1.021113222422745,B,True,1350,0.03172072545479118,True
1.179396111741016,L640_sub00370,xi,97.95407086997457,1317,0.03515572895324004,1.179396111741016,B,True,1359,0.02980824559557298,True
1.020701928067109,L640_sub00370,xi,104.19932821280567,1357,0.03290550531544864,1.020701928067109,B,True,1278,0.032238114194377394,True
1.1022291837224933,L640_sub00370,xi,110.94480609744649,1297,0.03738649307897503,1.1022291837224933,B,True,1267,0.03391898312174228,True
1.0419409047745216,L640_sub00370,xi,117.94808179873041,1307,0.03848347977701081,1.0419409047745216,B,True,1376,0.03693441691430545,True
1.0877406909432228,L640_sub00370,xi,125.193849689192,1251,0.040322058042141846,1.0877406909432228,B,True,1254,0.037069550103138095,True
1.112631316121456,L640_sub00370,xi,133.18220601867202,1173,0.04426847154189768,1.112631316121456,B,True,1273,0.03978718817318035,True
1.1844989720534784,L640_sub00370,xi,141.92867927237256,1203,0.048685819849831904,1.1844989720534784,B,True,1248,0.04110245850651005,True
1.0555964841688301,L640_sub00370,xi,151.17539482336403,1206,0.0490713889490276,1.0555964841688301,B,True,1249,0.04648688176303097,True
1.0293624843233042,L640_sub00370,xi,160.92234151913152,1209,0.0527414995309276,1.0293624843233042,B,True,1232,0.05123705238354348,True
1.0585372851163366,L640_sub00370,xi,171.1695066301238,1209,0.053724223407822756,1.0585372851163366,B,True,1254,0.050753265060397276,True
1.020570575686028,L640_sub00370,xi,182.15927096911648,1191,0.051721267082760765,1.020570575686028,B,True,1204,0.05067877549575022,True
1.0080623897439829,L640_sub00370,xi,194.14942698859556,1101,0.05544817893880372,1.0080623897439829,B,True,1117,0.05500470953279575,True
1.0019500898556675,L640_sub00370,xi,206.89792169086667,1112,0.055863603671703406,1.0019500898556675,B,True,1091,0.05575487665233969,True
1.0462894026470289,L640_sub00370,xi,220.14654210320907,1077,0.0606920682913108,0.9557585095195266,B,True,1071,0.06350146787792825,True
1.0292797470249133,L640_sub00370,xi,234.13777995018233,982,0.05723456321265538,0.9715531689906994,B,True,1052,0.058910376744603345,True
1.0265442889076168,L640_sub00370,xi,249.1294844051984,922,0.058911878080640134,0.9741420909020266,B,True,1049,0.060475651992502946,True
1.1453542478492078,L640_sub00370,xi,265.12167018182424,930,0.05444920492871718,0.8730923222032312,B,True,1026,0.06236362815711824,True
1.0355148081707206,L640_sub00370,xi,282.35660077285246,877,0.06114651692859816,1.0355148081707206,B,True,981,0.05904938919861127,True
1.094228481177313,L640_sub00370,xi,300.85004570383563,787,0.05426270234654884,0.9138859179794608,B,True,822,0.05937579437324077,True
1.054175263105169,L640_sub00370,xi,315.46037786067524,490,0.05974619396944823,1.054175263105169,B,True,661,0.056675769258197534,True
1.0446164082149687,L640_sub00370,lambda,33.98529093593286,2670,0.038184089345308654,0.9572891945176231,B,True,2764,0.039887726262855784,True
1.0192063711832597,L640_sub00370,lambda,35.98610843089316,2507,0.03589719417177748,0.9811555620860555,B,True,1689,0.036586649007478184,True
1.0261805249085254,L640_sub00370,lambda,38.22956970723055,2556,0.0390083483273216,0.9744874081381936,B,True,2709,0.04002960736234548,True
1.0309567622343592,L640_sub00370,lambda,40.7308237088326,2600,0.04244463000300615,1.0309567622343592,B,True,1754,0.04117013589494993,True
1.0407517889418778,L640_sub00370,lambda,43.23193264243457,2619,0.046939609943575045,0.9608438924872666,B,True,2722,0.04885248302100968,True
1.0589092449709556,L640_sub00370,lambda,45.97553697348189,2580,0.04512613818074975,0.9443679944709791,B,True,2691,0.04778448490943273,True
1.0850807340390682,L640_sub00370,lambda,48.977035434987286,2583,0.046562702385316,0.9215904113214077,B,True,2614,0.05052429128310136,True
1.0375164113597246,L640_sub00370,lambda,52.22068555658763,2595,0.05136517782493126,0.9638401754912415,B,True,2680,0.05329221496577678,True
1.0882787221708066,L640_sub00370,lambda,55.72252686302013,2604,0.05134489175309257,0.9188822492139553,B,True,2649,0.05587755318705397,True
1.0975672741388467,L640_sub00370,lambda,59.22415047934415,2642,0.051801527550667324,0.9111058825843745,B,True,2696,0.0568556613900143,True
1.1051200299863442,L640_sub00370,lambda,62.96824596572466,2570,0.053737896531458086,0.9048790835981472,B,True,2599,0.05938682582624802,True
1.0331619411681119,L640_sub00370,lambda,66.97014260101288,2593,0.057688670657536106,0.967902475065411,B,True,2700,0.05960173895994789,True
1.0558365222467683,L640_sub00370,lambda,71.21446482281532,2742,0.0593903855765085,0.9471163186058853,B,True,2733,0.06270653816199535,True
1.1369262185523377,L640_sub00370,lambda,75.95887044973747,2673,0.057618816924947205,0.8795645519313579,B,True,2664,0.06550834364393966,True
1.11697012669473,L640_sub00370,lambda,80.96141056083448,2722,0.0623191323611428,0.8952790912673189,B,True,2780,0.06960860916893133,True
1.0634191024394777,L640_sub00370,lambda,86.20614827261453,2646,0.06567475369994703,0.9403630212265376,B,True,2709,0.06983978763253143,True
1.0550878492477875,L640_sub00370,lambda,91.95107394696377,2699,0.06664353936812638,0.9477883767810786,B,True,2666,0.07031478861817672,True
1.046376606913002,L640_sub00370,lambda,97.95407086997457,2609,0.06802362003948167,0.9556788572999341,B,True,2707,0.07117832472685212,True
1.059367413236146,L640_sub00370,lambda,104.19932821280567,2683,0.06912891768659547,0.9439595625706563,B,True,2697,0.0732329227094631,True
1.071488604376054,L640_sub00370,lambda,110.94480609744649,2648,0.0703334021981692,0.9332810408957329,B,True,2655,0.07536143896233602,True
1.0582938699580113,L640_sub00370,lambda,117.94808179873041,2702,0.07106315592732027,0.944917124049557,B,True,2652,0.07520570229775336,True
1.0260090454152515,L640_sub00370,lambda,125.193849689192,2718,0.07370914234395516,0.9746502766895929,B,True,2696,0.07562624677469833,True
1.0279541441612292,L640_sub00370,lambda,133.18220601867202,2727,0.07650624025420573,0.9728060397246233,B,True,2780,0.07864490672350544,True
1.0153414868190074,L640_sub00370,lambda,141.92867927237256,2772,0.0790813483461526,0.984890318165693,B,True,2890,0.08029457380943444,True
1.0020192578697202,L640_sub00370,lambda,151.17539482336403,2763,0.08577869619638484,0.9979848113158891,B,True,2876,0.08595190550373373,True
1.0254988405691232,L640_sub00370,lambda,160.92234151913152,2819,0.0889686144757539,0.9751351834245156,B,True,2985,0.09123721099192693,True
1.0273258221193116,L640_sub00370,lambda,171.1695066301238,2807,0.09461967165708529,0.9734010169597995,B,True,2845,0.09720523197377447,True
1.0510341650069681,L640_sub00370,lambda,182.15927096911648,2783,0.09297835559238556,0.9514438571969449,B,True,2971,0.09772342833376392,True
1.0056213885035221,L640_sub00370,lambda,194.14942698859556,2881,0.09906671932036808,0.9944100348622384,B,True,3021,0.09962361183743725,True
1.0000245307871074,L640_sub00370,lambda,206.89792169086667,2878,0.1075468439425962,0.9999754698146373,B,True,3117,0.10754948215132903,True
1.0133722544957768,L640_sub00370,lambda,220.14654210320907,3032,0.11182204196427178,1.0133722544957768,B,True,3192,0.11034646100500456,True
1.028713874437236,L640_sub00370,lambda,234.13777995018233,3131,0.11415331335492376,0.9720875987475682,B,True,3192,0.11743109726119148,True
1.0002447182982732,L640_sub00370,lambda,249.1294844051984,3152,0.12482575410906314,1.0002447182982732,B,True,3323,0.12479521443655359,True
1.0241668562332762,L640_sub00370,lambda,265.12167018182424,3259,0.1338845399240716,0.976403399420522,B,True,3386,0.13712010835227498,True
1.0183845493021497,L640_sub00370,lambda,282.35660077285246,3261,0.14067410580306391,0.9819473407027357,B,True,3472,0.14326033583673617,True
1.0010988838304948,L640_sub00370,lambda,300.85004570383563,3500,0.1500003247540319,0.9989023223896822,B,True,3668,0.1501651576854731,True
1.1519051460342247,L640_sub00370,lambda,315.46037786067524,1673,0.1259023759268665,0.8681270358438773,B,True,1904,0.145027594728093,True
,L640_sub00370,parallel,33.98529093593286,1455,0.004937257415960383,,u,True,0,,False
,L640_sub00370,parallel,35.98610843089316,1463,0.005307811857869324,,u,True,0,,False
,L640_sub00370,parallel,38.22956970723055,1389,0.005706659091183433,,u,True,0,,False
,L640_sub00370,parallel,40.7308237088326,1504,0.006861123065891326,,u,True,0,,False
,L640_sub00370,parallel,43.23193264243457,1446,0.006665010516006258,,u,True,0,,False
,L640_sub00370,parallel,45.97553697348189,1390,0.006780401870107415,,u,True,0,,False
,L640_sub00370,parallel,48.977035434987286,1428,0.007748873907568865,,u,True,0,,False
,L640_sub00370,parallel,52.22068555658763,1384,0.009294409521293002,,u,True,0,,False
,L640_sub00370,parallel,55.72252686302013,1411,0.008693405149348316,,u,True,0,,False
,L640_sub00370,parallel,59.22415047934415,1549,0.009848657971890322,,u,True,0,,False
,L640_sub00370,parallel,62.96824596572466,1393,0.011402422890835165,,u,True,0,,False
,L640_sub00370,parallel,66.97014260101288,1485,0.01117661711798564,,u,True,0,,False
,L640_sub00370,parallel,71.21446482281532,1444,0.012042607746130203,,u,True,0,,False
,L640_sub00370,parallel,75.95887044973747,1431,0.013483498497708099,,u,True,0,,False
,L640_sub00370,parallel,80.96141056083448,1392,0.014481239233840421,,u,True,0,,False
,L640_sub00370,parallel,86.20614827261453,1466,0.015810535530711253,,u,True,0,,False
,L640_sub00370,parallel,91.95107394696377,1440,0.015420875888748624,,u,True,0,,False
,L640_sub00370,parallel,97.95407086997457,1350,0.016876290420461824,,u,True,0,,False
,L640_sub00370,parallel,104.19932821280567,1475,0.01852745581485953,,u,True,0,,False
,L640_sub00370,parallel,110.94480609744649,1382,0.01900249263578284,,u,True,0,,False
,L640_sub00370,parallel,117.94808179873041,1433,0.019871080492601736,,u,True,0,,False
,L640_sub00370,parallel,125.193849689192,1460,0.020084453021407378,,u,True,0,,False
,L640_sub00370,parallel,133.18220601867202,1432,0.020429095411867843,,u,True,0,,False
,L640_sub00370,parallel,141.92867927237256,1439,0.02320354866262058,,u,True,0,,False
,L640_sub00370,parallel,151.17539482336403,1476,0.024695354282996577,,u,True,0,,False
,L640_sub00370,parallel,160.92234151913152,1455,0.024138224328592993,,u,True,0,,False
,L640_sub00370,parallel,171.1695066301238,1436,0.025604239771207765,,u,True,0,,False
,L640_sub00370,parallel,182.15927096911648,1399,0.029477983691551548,,u,True,0,,False
,L640_sub00370,parallel,194.14942698859556,1406,0.028453257063570297,,u,True,0,,False
,L640_sub00370,parallel,206.89792169086667,1450,0.031044518726979314,,u,True,0,,False
,L640_sub00370,parallel,220.14654210320907,1491,0.0336507902073888,,u,True,0,,False
,L640_sub00370,parallel,234.13777995018233,1403,0.03565941278490344,,u,True,0,,False
,L640_sub00370,parallel,249.1294844051984,1438,0.033085754376802404,,u,True,0,,False
,L640_sub00370,parallel,265.12167018182424,1466,0.03696596706862678,,u,True,0,,False
,L640_sub00370,parallel,282.35660077285246,1410,0.03969259596907993,,u,True,0,,False
,L640_sub00370,parallel,300.85004570383563,1403,0.03780679913214647,,u,True,0,,False
,L640_sub00370,parallel,315.46037786067524,193,0.09301331153817352,,u,True,0,,False
1.2988221382530138,L640_sub00370,xi,33.98529093593286,1497,0.010616348730906451,0.7699283608955527,u,True,1517,0.013788748759115588,True
1.4362593632533098,L640_sub00370,xi,35.98610843089316,1403,0.010841904590485795,0.6962530762792544,u,True,1064,0.015571786983584263,True
1.2686844502812773,L640_sub00370,xi,38.22956970723055,1507,0.012094640376696506,0.7882180630323735,u,True,1556,0.015344282177658947,True
1.3494833653803167,L640_sub00370,xi,40.7308237088326,1481,0.012436094943086746,0.7410243250521107,u,True,1155,0.01678230325598584,True
1.2799233998792292,L640_sub00370,xi,43.23193264243457,1497,0.012917915947159273,0.7812967558014471,u,True,1562,0.01653394289844221,True
1.313542760756169,L640_sub00370,xi,45.97553697348189,1477,0.013349683137901334,0.7612999210047251,u,True,1634,0.017535379644178995,True
